geneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
DPP4	3.5637892016654353	5.306179653494318	3.681332464267773	5.9638472949087	5.700525548668766	6.295699574229849	6.863332106388579	7.459740664165779	7.395224559239075	7.316810090824166
DPP6	3.411438211879698	3.0967823966427357	2.8999591835765086	3.539151092408107	3.108047492864677	-1.6455237536028975	-1.0674668589970344	-0.37898144582037396	-0.8455016680844065	-0.8243840004497084
DPYD	4.576305113170979	5.521499814407771	5.552487904638671	5.636960613596618	5.544742997755586	7.782379352659674	7.909707154170316	8.328283861393038	8.096788192650918	8.276820204021686
DRAM1	4.225363296009103	3.941264986778732	3.702100967764347	4.39699885803665	4.440584342384899	7.027934554720494	7.154375036386802	8.008956390469514	7.604923629858124	7.428323390491733
DSC3	11.456018422519401	11.297355056363914	11.034201126068153	11.137314403078054	11.090888807752938	10.064268465686652	6.25161265382214	7.250633466523738	7.1954302394714516	8.996812383432525
DSG1	12.696361689142087	12.630493837596136	12.292482745023444	12.330643146236218	12.241812126012576	11.191382353197447	4.092359194658715	7.855085816829944	8.246261646931716	9.101894763365149
DSG2	6.512689972176551	5.769933614871907	6.0901797397209	5.793306160899891	4.849422024808205	3.7693660036223955	3.9876572292349812	3.058207533664411	2.988505102000335	4.053533344195554
DSP	13.602724202821973	13.210392017712012	13.01376274654484	13.07601687355319	13.050820968930827	10.980223139507649	7.774723490334322	8.298608584549092	8.729264774905952	9.767288648789139
DTHD1	0.036938329528560764	-2.3183042187881595	-3.560237770279121	-3.633124526352377	-0.16008320113595279	0.8896520373611034	2.38024770987627	2.401895926439143	2.4554214950628315	2.4041591100045814
DTX1	2.590956386830806	2.6543781004034335	3.750450950045539	3.155862137779223	2.4934316998242143	1.0463908950790848	0.8309867390479873	1.0700064419663011	0.6973995394874716	0.7145302628085933
DTX3L	5.073427154582684	5.607044882512139	5.597583405625541	5.663211789499378	5.260777967486884	7.191750711609284	7.873954316079047	8.240360419002188	7.894395652811264	8.18276206806533
DYSF	3.096805719475598	3.946799693266604	3.1395424396257408	3.259346735122445	2.3745967703345476	5.480312975825522	6.789341280876272	6.1833489705721645	5.846641151542293	6.70553539830853
EAF2	-0.36390371736940014	0.2147026328071381	0.10319293659891472	-0.1419073991249845	-0.6672060747884833	2.745044218373386	2.9659656968982797	3.0821959691202245	3.3467388433746503	2.808570564712398
EBI3	-4.3542320083925565	-1.5620423043134855	-1.7754310013484151	0.9243877397396781	-2.2541277446524948	1.7226592015349573	1.1053397206615538	2.3976068140580975	2.459203107794017	2.6997060038798395
ECEL1	-3.437675940071071	0.7530523037781085	-2.979003459882215	-0.7425531006526296	-2.2541277446524948	2.202711516883896	2.3894388301811893	3.5842047678669426	3.166280790862418	3.9303846424180318
EDA	2.9671930071957973	3.7022117462904367	3.4190966339834903	3.164554637949979	3.7871096958106	1.3615032100476878	1.0136865446460108	0.422277360583029	-0.13159327736098325	0.7786923086875425
EDAR	3.6804536556478364	2.2818991917346843	2.5390886224392033	1.7960825605863944	1.6462350683196103	-0.00885098732947431	-0.7228512342675683	-2.249348192978381	-2.704548739081884	-1.6956792232609934
EEF1A2	2.949970703551976	1.5820473995986317	2.398662910654118	2.1759046352251983	2.9335448637590797	0.8885420838472659	-2.1936631690738517	-0.2678326670116199	0.10097367145589384	-0.4934708263793912
