geneID	FCtl_LE_1	FCtl_LE_2	FCtl_LE_3	F1h_LE_1	F1h_LE_2	F1h_LE_3	F3h_LE_1	F3h_LE_2	F3h_LE_3	F12h_LE_1	F12h_LE_2	F12h_LE_3	F24h_LE_1	F24h_LE_2	F24h_LE_3
Smp_123120.1	-1.3372029948607174	-1.3774375505299201	-1.4743919417565496	-0.8464621446522972	-0.9119364995409547	-0.04099944551314648	-1.3011796040975165	-0.09259285699119231	-0.12147080136973462	0.9126386539964136	0.8008571715232544	-0.26344885342828783	0.3632733477013828	0.24911633080845533	1.2630059620366536
Smp_002820.3	4.98625828511323	5.043195105564377	5.762664768458471	5.177030304974576	5.839503323448857	5.594487661950251	6.052433652033682	6.131571660769926	5.603685718157698	6.295729019843314	6.632489071488173	6.336430813215103	6.79280512368372	6.4766169997983125	6.1930205295878755
Smp_002150.1	7.512012220189936	7.561340385769151	7.308855835017786	7.50809247500382	7.393936172273741	7.5076297803148435	7.548467277167824	7.6115518608759185	7.650251429824557	8.124527998496195	8.053670607856933	7.805802215365264	8.805128120913462	8.645276465570081	8.40286434259454
Smp_123260.1	4.644981872492298	4.697860513989337	4.699255286936678	4.516958040526236	4.699248227215991	4.588254230933747	5.423128228923682	5.441550497132068	5.900387657703249	6.106896203892564	6.356484598744457	6.052728526031687	6.167035721580879	5.624131418526852	6.465971858681855
Smp_087870.1	2.0362747745033927	2.403156899537871	2.574599331406656	2.419011603076774	2.2952254261823892	2.863495053998833	2.7414814692351213	2.5616462798208044	2.2863563994551854	3.4865051224334973	3.459387153609074	3.08721355203014	3.618512945326019	3.918649445586911	3.3884694565450166
Smp_087940.1	5.402202111042982	5.433174534969458	5.34482305360714	5.459270597397227	5.553390946420883	5.372161664858805	5.637912396960961	5.410594728776277	5.413696846880012	6.347803923898198	6.468411080289739	6.0933890730465246	6.524613250559918	6.6084140342618305	6.672532022313719
Smp_087940.2	7.764064883768943	7.794663466639158	7.807929422383778	7.677825960009405	7.769618610137871	7.5596555035168	7.645622163327519	7.793057122348375	7.907324939530356	8.664208084807614	8.53646256321233	8.844542930318157	9.167234846100703	9.071712016046693	9.10610882677609
Smp_170010.1	2.0027856136237836	1.760585967361137	2.0149496681171604	1.480948936057604	1.9334340195586128	1.4884482737985045	1.8404698329015785	1.6717862491294204	1.3572699884281816	2.841279661678114	2.8435700742311116	2.8311454474891358	3.2864105280390117	3.6133052212937447	3.1203025162701747
Smp_080730.1	6.775526668858261	6.6225596382937635	6.730673565556448	6.824152727446327	6.818072647715602	6.561836213617481	6.67229798382813	6.774955295715341	6.594991428798419	5.6186341756915255	5.591270818304977	5.8429456378258635	5.411615622172964	5.480671474680015	5.409740609286132
Smp_202980.1	5.734468117694623	5.628332575735032	5.860207319043791	5.964480526970284	5.61761246040664	5.56438173423605	5.410166643874427	5.574969495106675	6.033991201923926	4.751050751155245	4.58828739263859	5.181442301653696	4.680955893228327	4.359346994150943	5.148036576381506
Smp_172460.1	2.0964916594048426	1.9988313968296103	1.7720960996069928	2.5738344986764963	2.8501004624568607	2.1802333451640017	4.477385592499197	4.762720955743818	5.398271297866463	5.052747098451953	5.405531300466783	4.544586105466721	5.356016708647767	4.59907683507525	5.6819817400924215
Smp_154100.1	3.083020783474979	2.8994434091231125	3.332865151144287	3.123280821866397	2.8649105967012134	3.0099140764263743	3.0640136246505842	3.08599871233724	3.4961660238914414	3.922274661757443	3.685575059399033	3.984206216268965	4.218900403717783	4.053707752300737	4.210572670714587
Smp_154080.1	4.709183311506478	4.888583520587683	5.052880022599156	4.7457409905519565	5.143233058229583	4.469870849805866	4.8628635960167195	4.91297096775065	4.694133063146893	3.673236480147076	3.7223835644205563	4.064784053241027	3.871965727457607	3.9177171523426444	3.6622474444619755
Smp_024860.1	0.13996047419829366	1.341483382637151	1.0650716863054168	1.0598733654134864	1.4199056544671227	0.7496700662440009	1.6505226326399656	1.7921239333042753	1.5113548977035762	1.728473913561631	2.390361481891252	1.6481155569195443	1.8146852178592945	2.069837041700669	2.0311417957504103
Smp_141460.1	4.867192153873208	4.92118803265014	4.4848210802073885	4.7880922973034785	4.529377511377066	4.4597178204626795	4.773560622958149	4.81246102457789	5.019896678854505	3.236479362326331	3.6732758490721102	3.369570687272773	2.7160254149854435	3.591955091607258	3.040558128604554
Smp_169870.1	6.575291869387174	6.269263250536683	6.08242866239243	6.149260138986525	6.125640150451658	6.4852083990555744	6.634165050070925	6.41282591047743	6.5570187034786285	7.363562158368918	7.385080627769688	7.24158494625821	7.604936694515129	7.560400200028606	7.39975255084673
Smp_154290.1	4.009313357381166	3.642123533772935	3.8188270557058765	3.8627204872434233	3.944598512723565	3.7326548938184603	3.7560746870883746	3.9701128881218306	3.931281640505392	1.0809304047040351	1.4144181314854551	1.62210280342185	0.3387784072027988	0.7855383092244002	1.597749174999539
Smp_059610.1	4.186547524099904	4.570760807407331	4.753189240494394	3.720194789623096	4.355890737724464	4.030982277463713	4.383450324221956	4.708974650004693	4.514147859241467	5.287807386962382	5.246261406496359	5.283077299146928	5.685118772853423	5.544113955090575	5.517190165919701
Smp_141490.1	3.8380110199815927	3.9583199363441133	3.436548380690176	3.6908011354342576	3.575435675059204	2.7645130680880747	3.364050543420785	3.39475755684275	3.6580208963245178	3.925823211869396	3.689806332344775	4.522271473126473	5.033685688676236	5.031345278557251	4.367854888091438
Smp_203030.1	6.920372259539294	7.064026823043099	6.586943308531555	7.038175048017562	6.65069559580048	6.81152618355298	6.7203923802268815	6.621232596926807	7.348000234328845	6.1790791456773695	6.061300702708295	6.549081103737197	5.581242882172926	5.853299188266865	5.879694157203722
Smp_035870.1	0.7792716340836665	1.0093240991628922	1.3296893442029483	-0.2156347409287502	1.0056747865448967	0.5669449255808962	0.8547007631664973	0.4729408637164535	0.8394815684970351	-0.054245169305731714	-0.045502904579558384	0.3481263858946763	-0.15187092303925182	-0.12966360386627293	-1.240481036093292
Smp_063190.1	-0.2569424527605242	-0.8425955250060827	-0.3822749305225239	-0.599681760746398	-0.9050034399720139	-0.2056556520033803	-0.36706825861320663	0.16624013058849796	-0.9112564151199248	0.377772699768592	0.35673373073732306	1.0288363168569155	0.9497519834958656	0.711632166850885	1.203547663225939
Smp_063070.2	1.5202817877373507	2.0728331655010908	2.745859734880593	1.11522921561239	2.0887496825058105	2.644415120302023	2.5349924560298422	2.4629785449185024	1.9799782223668372	3.046135825255141	3.1268901548605683	2.786190359118997	3.633694649366132	4.137942323519104	3.43481943726406
Smp_063060.1	1.4230106313223267	1.4737780140019008	0.6744595778138923	1.42059088030534	1.0584872518691568	1.901960135816233	0.966314068494892	1.490854468626491	1.608227986120163	0.3746195033179857	0.06342194719409966	-0.26158674877615834	0.36618770084708063	-0.6544392672018334	-2.087465183032233
Smp_051000.1	5.836674284019286	5.7611923690979525	5.733596514657336	5.585817251811234	5.553180587335851	6.025324406398172	5.766569277367399	5.6941742800172035	5.756782645814462	7.028262442708464	7.2065309077418185	6.702383701480719	7.135836623498332	6.962185929314904	7.168831881739662
Smp_046360.1	4.459948392276409	4.6077441403846	4.270482336334487	4.456165371476555	4.345682969136	4.514297341579157	4.227445251267274	4.749637883449888	4.790561139059042	5.7053440599981204	5.6489217390425805	5.510055053030161	6.1431985951259716	6.1840532389915035	6.418126203214791
Smp_147070.1	5.0888383295976665	5.123069527464998	5.054799564706711	4.256852020593488	4.92624857738403	5.185630130500787	4.7301747345593	4.91513621750528	4.277081879928605	2.7175216228137042	2.9626032063164582	2.2312849770552754	3.203251160940485	3.431154709901029	2.6660436534653966
Smp_011000.1	2.7157470623875986	3.139168185303048	2.9633577181030444	2.8633350280279855	2.9145729536163083	2.5499930946172547	3.224359871406757	2.9445239016589313	2.683726303745174	3.5698649529027433	3.744540221761212	3.761666987298322	4.92053942107895	5.091102166523965	4.5391890541014135
Smp_136660.1	3.5556112281536523	3.6013395432587414	3.717018062902605	3.434119532497779	3.2705927764742406	3.8620265964023845	3.916483956161679	3.398358081891315	3.6237426342797585	5.337728197458212	5.368741863162543	5.112539950495912	4.939878517825712	5.20895976887957	5.451605152528148
Smp_131230.1	-0.2548792489412381	-0.2913623900656996	-0.38888496582693044	-0.5947811099233622	-0.20710714504075164	0.0958293948763435	0.19587909532486517	-0.0792943154668474	-0.6714002587281503	1.153871768723658	1.096241888743754	0.45459917267147043	1.687307916687549	1.2771270458722885	1.2021954700832438
Smp_016780.1	5.18459340935422	5.2842207653876425	5.7687686364035775	4.9766918555921675	5.353851014694061	5.210691353610075	5.41741796435515	5.185987334101534	4.63139254591888	2.584802269715757	3.5378019578427713	3.163039088037471	2.724050947943428	3.563266085880171	3.022693221381161
Smp_203200.1	1.6388118248400547	2.0148855583552945	1.5124685426538964	1.662287750233414	1.8517375493007147	1.7414690157150874	1.017637333591811	1.6119155621610162	1.8999583528019632	0.17176565633183852	0.9762873618959406	0.09344246998617765	-0.668031261028095	-0.5424924157817702	0.637369570976146
Smp_016870.1	5.3502545719853	5.262860817107421	5.361209170693101	5.59157815091156	5.349749288728763	5.301964101609012	5.5188345534371654	5.359034672288075	5.371383841447217	4.647191521683457	4.683014375190905	4.9124791886623	4.092486763732272	4.166549677909465	4.533121559760571
Smp_178940.1	5.027902620786722	4.57837859988112	4.814023988903664	5.365453209274689	4.25466943852857	4.796302698754179	4.235058757822302	4.657072745119119	5.240055512503151	5.268100890174983	5.225952005793602	5.04416583312374	6.074923914597146	5.813349333978836	5.6843363695217555
Smp_009310.3	4.971748446871314	4.783496787579403	5.494677508118072	4.506785968257378	5.060877979953913	4.767814676231366	4.710532952002455	5.54327699014222	4.609657524714412	3.725907472141533	3.190528553276963	3.4496155226342338	3.674689755636243	4.397204295181787	3.7572505107953726
Smp_009300.1	3.9842810188339373	3.8730584886003343	3.6894197854039525	3.708746219131064	3.7604134371088627	4.00393648637154	3.881538481402284	4.216266653405953	3.972815473403037	5.208045744890997	5.514818699991015	4.991304801850028	5.185592902627611	5.109472689247936	5.633759262635624
Smp_009230.1	2.836656511336967	2.9230644004045017	3.1114727449901425	3.3552415871889867	3.3982664698501304	2.5361055375423454	3.3552947171560397	3.4092545822587983	3.09306702253437	2.978959054301133	2.924600348220347	3.8446517918835643	3.9231326753713938	4.2531244660070024	3.610274653302259
Smp_203090.1	3.532462895982996	3.3002844568064518	3.5473832867574138	4.0852222734534305	3.5427787214886193	2.855395860074208	3.280205000258539	3.078809234157474	3.938755080088246	3.511455614762685	3.4656560508965346	4.004844922745807	4.868007687255121	4.421053156269747	4.5045154025923795
Smp_077580.1	0.7791318043515629	0.20940135519624448	-0.03671604358302711	1.0540198161536238	1.0052730722099836	1.1354880869673372	0.525331579730483	0.8757939690618091	1.1847054877028884	1.6887844528928861	1.1433216991415232	1.8476712245817297	2.2877239064192842	2.209232359992732	2.3312481573496164
