A	infection	infection	infection	F	F.p.value
ACP1	5.74176457414421	0.202153290398239	1.29032258942184	0.221495003781718	1.66493238477228	0.221495003781718
ACP2	5.34119776502031	2.48963471062129	9.10783395192469	1.05279990713706e-06	82.9526392958322	1.05279990713706e-06
ACP5	6.00270532315685	2.6464433987333	9.03747036311848	1.14198871171557e-06	81.6758705642448	1.14198871171557e-06
ACP6	3.46005498878174	-1.63668417377227	-6.68682821254444	2.35604625850694e-05	44.7136715440802	2.35604625850694e-05
ACP7	3.28619441716669	0.0557313864919062	0.0912917898872194	0.928782446832532	0.00833419090081222	0.928782446832532
ACPP	5.14093399261514	-1.81693715691221	-5.45210952197632	0.000152657133413762	29.7254982396249	0.000152657133413762
ACRBP	0.470193290959985	2.1138142231341	5.42469060069704	0.000159509022722192	29.4272681132908	0.000159509022722192
ACRC	0.91867611857531	0.905243759206118	2.13357849111174	0.0544389061231058	4.55215717773465	0.0544389061231058
ACSBG1	3.11637416624379	-1.7531660174262	-4.66862987755787	0.000557866461953745	21.796104933626	0.000557866461953745
ACSF2	4.27724396583476	-0.842317758059455	-4.71884515139762	0.000512107966451459	22.2674995628688	0.000512107966451459
ACSF3	4.90005848809889	0.873735366557409	5.02819312930981	0.00030454644409042	25.2827261456384	0.00030454644409042
ACSL1	8.94033975158365	-0.508567497158223	-2.1511579432399	0.0527631843719315	4.6274804967641	0.0527631843719315
ACSL3	6.55140352635146	0.705548065707251	3.74730127834051	0.00283322190441674	14.0422668706524	0.00283322190441674
ACSL4	7.07122427150031	1.7129264732488	13.4856439743571	1.46860631427461e-08	181.862593403115	1.46860631427461e-08
ACSL5	4.62984238210319	2.97287189475869	11.3624992274618	9.80028014310848e-08	129.106388694069	9.80028014310848e-08
ACSL6	2.05611066216699	2.58034005511288	6.20600046097524	4.75755475981152e-05	38.5144417216249	4.75755475981152e-05
ACSM2A	1.73428811100499	-0.794990028785551	-2.62332478056818	0.0224113317838703	6.88183290434307	0.0224113317838703
ACSM2B	0.941990153698884	-0.463081192219747	-1.02442057149538	0.326050519841298	1.04943750730292	0.326050519841298
ACSM3	2.33719677779255	-0.679353596936786	-2.74761902028137	0.0178262111263939	7.54941028061194	0.0178262111263939
